school_id,year,total
350545,2017,1698
350012,2017,296
350054,2017,507
350052,2017,558
350430,2017,335
350020,2017,948
350062,2017,309
350066,2017,96
350072,2017,438
350074,2017,309
350077,2017,452
350080,2017,732
350008,2017,189
350426,2017,505
350375,2017,688
350088,2017,278
350096,2017,558
350100,2017,244
350116,2017,453
350326,2017,401
350122,2017,222
350200,2017,495
350135,2017,239
350377,2017,355
350750,2017,90
350141,2017,272
350013,2017,765
350146,2017,846
350154,2017,296
350156,2017,398
350485,2017,371
350153,2017,638
350172,2017,172
350166,2017,382
350179,2017,444
350180,2017,329
350182,2017,353
350183,2017,639
350184,2017,158
350181,2017,268
350286,2017,854
350190,2017,435
350376,2017,490
350383,2017,519
350262,2017,582
350004,2017,139
350215,2017,286
350656,2017,922
350227,2017,617
350226,2017,634
350229,2017,465
350231,2017,238
350378,2017,505
350382,2017,217
350237,2017,175
350243,2017,174
350138,2017,368
350575,2017,1437
350255,2017,222
350257,2017,886
350264,2017,297
350268,2017,415
350278,2017,280
350565,2017,506
350691,2017,407
350240,2017,946
350298,2017,170
350302,2017,294
350304,2017,231
350308,2017,399
350657,2017,972
350328,2017,332
350167,2017,759
350346,2017,582
350445,2017,344
350366,2017,385
350360,2017,244
350258,2017,602
350363,2017,337
350370,2017,536
350374,2017,243
350380,2017,582
4490305,2017,680
4110305,2017,476
4160305,2017,415
4810550,2017,955
360325,2017,711
360005,2017,433
360010,2017,355
380013,2017,428
390005,2017,293
400033,2017,421
400050,2017,282
400305,2017,733
400015,2017,425
400005,2017,435
400025,2017,448
400020,2017,371
400310,2017,677
410010,2017,233
4170205,2017,267
6250320,2017,506
6250050,2017,500
6250002,2017,1010
6250315,2017,691
6250300,2017,792
430005,2017,285
440421,2017,487
440010,2017,632
440110,2017,655
440001,2017,808
440405,2017,540
440023,2017,1042
440400,2017,48
440045,2017,667
440055,2017,552
440017,2017,605
440422,2017,693
440065,2017,883
440003,2017,891
440002,2017,757
440410,2017,564
440078,2017,868
440415,2017,513
440420,2017,629
4280305,2017,1608
450005,2017,318
460005,2017,764
460015,2017,798
460025,2017,578
460045,2017,613
460030,2017,711
460020,2017,600
460040,2017,854
460035,2017,576
480007,2017,388
480035,2017,529
480303,2017,821
480015,2017,386
480020,2017,294
490006,2017,379
490305,2017,261
490007,2017,311
490090,2017,260
490080,2017,392
490020,2017,253
490065,2017,291
490040,2017,266
490035,2017,325
490005,2017,356
490030,2017,317
490045,2017,306
490050,2017,316
490310,2017,262
490315,2017,275
490320,2017,268
500020,2017,492
500017,2017,504
500012,2017,502
500305,2017,786
4320530,2017,243
510025,2017,590
520015,2017,790
520405,2017,836
6350005,2017,125
6350025,2017,422
6350035,2017,134
6350305,2017,396
560030,2017,495
560005,2017,434
560025,2017,471
560305,2017,725
560310,2017,850
560015,2017,379
570050,2017,545
570030,2017,591
570045,2017,519
570040,2017,587
570035,2017,571
570055,2017,576
570025,2017,541
6320025,2017,140
610003,2017,425
610305,2017,788
610015,2017,452
610020,2017,366
610021,2017,106
610310,2017,769
610050,2017,448
610090,2017,391
610040,2017,305
610022,2017,422
610065,2017,284
4180305,2017,395
630010,2017,173
640050,2017,706
640305,2017,700
4380505,2017,359
650505,2017,838
650005,2017,382
35030205,2017,646
4360305,2017,374
4260205,2017,280
4400205,2017,400
4310205,2017,280
670005,2017,473
670305,2017,715
670020,2017,467
670030,2017,453
4390050,2017,450
680005,2017,141
710015,2017,302
710010,2017,374
710305,2017,838
710032,2017,286
710030,2017,278
710045,2017,327
720050,2017,965
720030,2017,429
720040,2017,617
720015,2017,419
730010,2017,308
730305,2017,631
730025,2017,278
730030,2017,272
730045,2017,183
740015,2017,401
6450505,2017,1003
6450005,2017,353
6450015,2017,306
6450305,2017,423
6450050,2017,514
6450025,2017,425
6500005,2017,420
6500305,2017,396
6500310,2017,575
6500010,2017,564
770015,2017,404
770305,2017,360
780005,2017,483
6550405,2017,523
790035,2017,463
790045,2017,508
790030,2017,280
790020,2017,546
790410,2017,901
4070405,2017,292
6580310,2017,704
6580005,2017,373
6580305,2017,617
6580030,2017,496
820004,2017,706
820305,2017,751
830505,2017,1051
830010,2017,690
870305,2017,628
870010,2017,269
870015,2017,300
850005,2017,182
860005,2017,194
860010,2017,256
860020,2017,192
860305,2017,449
880405,2017,887
880025,2017,835
890005,2017,348
910030,2017,136
930030,2017,65
930028,2017,942
930038,2017,931
930018,2017,878
930058,2017,871
930010,2017,595
930015,2017,564
4100205,2017,957
940010,2017,436
940305,2017,458
940030,2017,514
950009,2017,725
950017,2017,624
950140,2017,293
950045,2017,546
950013,2017,597
950011,2017,713
950320,2017,770
950315,2017,622
950005,2017,763
950335,2017,27
950145,2017,304
950130,2017,523
950340,2017,32
950305,2017,546
950065,2017,768
960005,2017,351
960405,2017,568
960305,2017,589
960020,2017,464
960030,2017,312
960015,2017,300
6620020,2017,114
970315,2017,559
970016,2017,642
970340,2017,673
970048,2017,716
970043,2017,622
970060,2017,677
980005,2017,81
4130505,2017,220
990050,2017,243
990405,2017,816
990015,2017,311
