id,year,african_american,asian,hispanic,white,native,male,female
680005,2017,0,0,3.5,95,0,56,44
710015,2017,2.3,0,9.6,82.5,0,53.3,46.7
710010,2017,3.7,3.7,6.7,80.2,0.3,49.7,50.3
710305,2017,1.6,2.1,7.4,85.8,0.1,51.1,48.9
710032,2017,1.7,4.2,8.7,83.9,0,47.2,52.8
710030,2017,2.5,3.2,7.6,84.2,0.4,55.8,44.2
710045,2017,1.8,2.1,5.8,89,0.9,53.5,46.5
720050,2017,1.7,0.4,2.6,90.1,0,51.6,48.4
720030,2017,1.9,0.2,4.4,88.8,0,54.1,45.9
720040,2017,1,1.6,3.1,87.4,0,54.6,45.4
720015,2017,0.7,0.5,3.8,90.2,0,49.9,50.1
730010,2017,9.4,3.6,24,56.5,0.6,52.3,47.7
730305,2017,6.8,2.4,14.3,73.1,0.3,51.3,48.7
730025,2017,3.2,1.8,6.1,84.9,0,54.3,45.7
730030,2017,7,1.8,9.6,73.9,0,46.7,53.3
730045,2017,6.6,2.2,14.2,74.3,0,57.4,42.6
740015,2017,0.2,1.7,6.7,85.3,0,50.4,49.6
6450505,2017,10,2.9,10.3,70.2,1.6,50.7,49.3
6450005,2017,9.9,1.4,9.6,69.4,0.8,54.1,45.9
6450015,2017,7.5,1.6,17.6,59.2,4.9,59.5,40.5
6450305,2017,10.2,1.9,8.5,73.5,2.1,51.5,48.5
6450050,2017,7.4,2.9,11.5,70.6,2.3,49.4,50.6
6450025,2017,6.6,1.6,5.9,74.8,2.8,51.3,48.7
6500005,2017,0.2,1.4,6.2,87.6,0,49.8,50.2
6500305,2017,1,0.8,3.8,91.4,0,54.8,45.2
6500310,2017,0.5,0.9,4,91.8,0.2,50.4,49.6
6500010,2017,1.2,1.8,3.9,89.9,0.4,48.6,51.4
770015,2017,0.5,1.5,1.5,93.6,0,53.2,46.8
770305,2017,0.6,1.9,4.2,91.1,0,50.6,49.4
780005,2017,2.9,12.8,4.6,74.7,0,54.9,45.1
6550405,2017,3.1,8.6,2.7,81.3,0.4,50.7,49.3
790035,2017,10.2,6.5,8,74.7,0.2,51.6,48.4
790045,2017,4.5,6.1,11,76,0,49.2,50.8
790030,2017,3.9,4.6,11.8,78.6,0,51.4,48.6
790020,2017,3.1,2.9,4.8,87.5,0,54.4,45.6
790410,2017,5.8,6.2,7.5,78.6,0.2,50.8,49.2
4070405,2017,61,0,36.6,1.4,0.7,45.2,54.8
6580310,2017,0.6,1,6,90.5,0,51,49
6580005,2017,2.7,0.3,8.3,86.1,0,52.3,47.7
6580305,2017,1.8,1.9,8.8,85.3,0,48.6,51.4
6580030,2017,1,1,8.7,86.5,0,54.2,45.8
820004,2017,0.1,1.4,2.4,92.8,0.1,49.2,50.8
820305,2017,0.1,1.5,2.3,92.9,0.1,53.1,46.9
830505,2017,2.8,0.3,1.9,93.2,0.2,48.6,51.2
830010,2017,3.2,0.7,2,90.4,0.3,54.9,44.9
870305,2017,2.2,5.9,5.4,85.5,0,52.4,47.6
870010,2017,3.3,5.9,5.6,82.5,0,44.6,55.4
870015,2017,1.7,3,5.3,86.3,0,51.7,48.3
850005,2017,5.5,1.6,3.8,85.7,1.1,48.4,51.6
860005,2017,1,2.1,13.4,79.4,0.5,58.8,41.2
860010,2017,1.6,3.5,9.8,81.6,0.8,53.9,46.1
860020,2017,1,5.7,13,75,0.5,55.2,44.8
860305,2017,1.8,3.6,10.5,82.4,0,48.3,51.7
880405,2017,5.4,3.4,3.5,85.1,0.1,49.3,50.7
880025,2017,4,3.2,4,86.2,0,51,49
890005,2017,3.2,0.3,18.1,71,2.3,45.7,54.3
910030,2017,0,0,3.7,86.8,0,52.9,47.1
930030,2017,20,0,38.5,36.9,0,76.9,23.1
930028,2017,16.5,5.6,48,26.9,0.5,52.8,47.2
930038,2017,19.2,4.6,44.1,28.7,0.5,47.8,52.2
930018,2017,13.1,5,46.8,32.7,0.6,49.7,50.3
930058,2017,18.8,3,60.2,16.2,0.2,49,51
930010,2017,13.4,6.4,61,16.5,1,47.6,52.4
930015,2017,15.8,6.9,41,34.4,0,56.7,43.3
4100205,2017,7.3,1.5,79.2,10.1,1.3,49.4,50.6
940010,2017,1.6,1.6,6.2,86,0.5,52.3,47.7
940305,2017,1.1,2.6,4.1,89.5,0.7,52.6,47.4
940030,2017,1.6,2.1,5.6,85.4,0.2,49.8,50.2
950009,2017,7.4,3.9,29.4,49.1,0.3,53.5,46.5
950017,2017,9.9,5.3,30.3,43.9,0.2,53.2,46.8
950140,2017,1.4,1,8.9,80.9,0,47.8,52.2
950045,2017,7.7,1.8,28,53.3,0.4,51.6,48.4
950013,2017,7.5,2,36,48.6,0,49.6,50.4
950011,2017,8.7,5.6,33.5,40.5,0.6,50.5,49.5
950320,2017,6.5,3.8,21,62.6,0.3,49,51
950315,2017,7.7,4.7,21.7,59.2,0.2,56.1,43.9
950005,2017,5.6,3.8,18,63.8,0,54.1,45.9
950335,2017,11.1,0,37,40.7,3.7,55.6,44.4
950145,2017,11.8,2,23.4,49.3,1.3,46.7,53.3
950130,2017,5.4,4.4,15.5,66.5,0,55.6,44.4
950340,2017,12.5,0,25,46.9,0,90.6,9.4
950305,2017,7.1,5.1,31.7,50.4,0.2,52.2,47.8
950065,2017,4.9,5.3,23.2,57.6,0.1,50,50
960005,2017,5.1,0.9,6,78.9,2.3,54.1,45.9
960405,2017,4.6,3,3.9,80.5,1.4,51.2,48.8
960305,2017,6.5,1.4,5.1,81.3,0.5,49.2,50.8
960020,2017,3,3.4,6,78.7,1.5,53.9,46.1
960030,2017,2.2,1.9,5.4,86.2,0,49,51
960015,2017,8.3,2,5.3,75,2.7,52.3,47.7
6620020,2017,0,0,0.9,98.2,0,52.6,47.4
970315,2017,5.9,4.7,51.3,30.4,0.2,55.1,44.9
970016,2017,4.5,2.5,51.4,34.1,0.3,52.5,47.5
970340,2017,4.6,6.7,48.1,32.5,0,47.1,52.9
970048,2017,5.6,5.4,52.2,29.9,0,50.3,49.7
970043,2017,5.8,3.1,44.9,38.1,0,51.9,48.1
970060,2017,6.1,5.6,53.3,27.3,0.1,49.9,50.1
980005,2017,1.2,0,0,96.3,0,44.4,55.6
4130505,2017,0.5,2.7,7.3,85,0,47.3,52.7
990050,2017,4.1,4.1,4.1,84.4,0.8,57.2,42.8
990405,2017,4.5,2.3,4.2,86.8,0.5,51,49
990015,2017,2.6,6.1,3.5,83.3,0.3,55.6,44.4
990020,2017,3.6,5.3,4.1,83.5,0.5,50.8,49.2
4460550,2017,36.6,10,4.4,42.9,0.1,47.4,52.6
1000035,2017,3.3,0.6,69.4,23.6,0.1,46.2,53.8
1000006,2017,7.6,4.5,53.4,32.4,0,48.9,51.1
1000302,2017,7.1,2,18.3,69.2,0.2,50.2,49.8
1000007,2017,5,13.4,11.3,66.6,0,54.5,45.5
1000305,2017,9,2.4,38.3,46.7,0,52,48
1000015,2017,3.8,7.5,11.5,72.9,0,51.1,48.9
1000045,2017,6.6,4.3,19.1,64.6,0.3,52.2,47.8
