school_id,year,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per
1520505,2017,29,6.4,12,2.6,43,9.5,86,18.9
1520015,2017,21,6.8,14,4.5,26,8.4,53,17.1
1530003,2017,20,19,0,0,54,51.4,41,39
1530605,2017,144,20.7,16,2.3,179,25.7,254,36.5
1530007,2017,172,25,119,17.3,132,19.2,255,37.1
1530010,2017,121,21.3,64,11.3,109,19.2,292,51.5
1530025,2017,121,19.2,67,10.6,126,20,236,37.5
1530515,2017,6,15.4,1,2.6,18,46.2,16,41
1530505,2017,236,21.7,61,5.6,166,15.3,298,27.4
1530005,2017,6,12.2,0,0,31,63.3,19,38.8
1530030,2017,124,17.9,72,10.4,128,18.5,298,43.1
1530040,2017,38,29.2,27,20.8,25,19.2,80,61.5
1530045,2017,79,16.4,7,1.5,116,24.1,151,31.3
1530320,2017,189,21.4,59,6.7,192,21.7,309,35
1540005,2017,1,0.7,0,0,15,10.9,32,23.5
1550008,2017,177,31.2,91,16,60,10.6,36,6.3
1550006,2017,174,30.8,52,9.2,52,9.2,28,5
1550015,2017,137,28.6,60,12.5,71,14.8,14,2.9
1550030,2017,124,26.7,22,4.7,63,13.5,21,4.5
1550305,2017,216,24.2,31,3.5,118,13.2,62,7
1550010,2017,173,32.3,68,12.7,50,9.3,34,6.4
1550001,2017,27,34.6,0,0,37,47.4,12,15.4
1550505,2017,526,24.1,63,2.9,217,9.9,122,5.6
1550035,2017,138,30.3,79,17.4,77,16.9,26,5.7
1550310,2017,204,23.9,30,3.5,114,13.4,34,4
1570305,2017,8,3.2,4,1.6,46,18.5,6,2.4
1570006,2017,9,2.8,9,2.8,40,12.4,3,0.9
1570025,2017,57,9.1,19,3,109,17.3,51,8.1
6950505,2017,56,3.6,4,0.3,241,15.4,87,5.5
1580505,2017,13,2.8,5,1.1,87,18.6,25,5.4
1580305,2017,12,3.4,3,0.9,72,20.5,34,9.7
1580015,2017,17,4.4,7,1.8,74,19.1,39,10.1
1580005,2017,34,7.7,18,4.1,74,16.8,47,10.7
1590005,2017,38,8.9,13,3.1,56,13.1,28,6.6
1590010,2017,11,2.7,1,0.2,68,16.8,21,5.2
1590017,2017,27,8.1,9,2.7,63,18.9,25,7.5
1590505,2017,43,4.5,5,0.5,150,15.8,52,5.5
