school_id,year,school,charter,level,town,lat,long,african_american,asian,hispanic,white,native,male,female,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per,total
310030,2017,Eugene C Vining,0,Primary,Billerica,42.5340281,-71.2591374,2,4.6,10.2,76.6,0,53.8,46.2,6,3,0,0,27,13.7,35,17.8,197
310007,2017,Frederick J Dutile,0,Primary,North Billerica,42.563674,-71.294788,4.3,3.3,5.6,84.5,0,50.2,49.8,12,4,0,0,52,17.2,57,18.8,303
310026,2017,Hajjar Elementary,0,Primary,Billerica,42.585425,-71.2797329,4.6,8.6,8.4,76.9,0.4,53.2,46.8,79,16.6,25,5.2,65,13.6,83,17.4,477
310012,2017,John F Kennedy,0,Primary,Billerica,42.567823,-71.232623,1.6,2.8,2.8,90.7,0,50.5,49.5,8,2.5,0,0,31,9.7,38,11.8,321
310310,2017,Locke Middle,0,Middle,Billerica,42.551067,-71.2440869,2.2,6.2,3.4,85.4,0,51.1,48.9,30,5.6,0,0,103,19.2,69,12.9,536
310305,2017,Marshall Middle School,0,Middle,Billerica,42.5717507,-71.2736281,3.2,5.5,3.9,85.9,0.2,49.6,50.4,49,7.9,8,1.3,120,19.3,107,17.2,623
310015,2017,Parker,0,Primary,Billerica,42.557786,-71.2730461,5.9,10.5,6.9,73.2,0.4,55.8,44.2,30,5.9,4,0.8,92,18.1,93,18.3,507
310005,2017,Thomas Ditson,0,Primary,Billerica,42.5371396,-71.2238467,5,9,6.1,75.5,0,48.9,51.1,36,6.6,13,2.4,69,12.7,86,15.9,542
6220015,2017,A F Maloney,0,Primary,Blackstone,42.0289836,-71.5454105,2.4,1.4,5.5,86.3,0.3,47.3,52.7,19,6.5,13,4.5,56,19.2,58,19.9,292
6220405,2017,Frederick W. Hartnett Middle School,0,Middle,Blackstone,42.0225344,-71.5295524,1.2,1.2,5.1,90,0,49.3,50.7,22,5.1,9,2.1,59,13.7,87,20.1,432
6220010,2017,Millville Elementary,0,Primary,Millville,42.0326372,-71.5773159,0.4,1.4,6.7,89.4,0,55.1,44.9,11,3.9,8,2.8,72,25.4,66,23.3,283
350390,2017,Blackstone,0,Primary,Boston,42.3408164,-71.0720801,24.1,1.5,69.4,3.6,0,52.6,47.4,332,56.8,272,46.5,138,23.6,424,72.5,585
350560,2017,Boston Latin,0,High,Boston,42.337821,-71.1013384,8,29,12.1,46.9,0.1,45.1,54.9,785,32.7,78,3.2,50,2.1,377,15.7,2403
350545,2017,Boston Latin Academy,0,High,Dorchester,42.316207,-71.0845329,22.7,21.9,22.6,29.3,0.4,41.9,58.1,706,41.6,31,1.8,50,2.9,538,31.7,1698
350012,2017,Boston Teachers Union School,0,Middle,Jamaica Plain,42.2945382,-71.1160251,23,2.7,39.5,31.1,0.3,51.4,48.6,72,24.3,40,13.5,64,21.6,118,39.9,296
350054,2017,Charles H Taylor,0,Primary,Mattapan,42.2778597,-71.0774938,75.1,1.2,18.1,1.6,1,51.1,48.9,188,37.1,165,32.5,76,15,346,68.2,507
350052,2017,Charles Sumner,0,Primary,Roslindale,42.2864091,-71.1267947,19.2,1.4,60.8,14.2,0,53.2,46.8,252,45.2,225,40.3,117,21,309,55.4,558
350430,2017,Clarence R Edwards Middle,0,Middle,Charlestown,42.3791713,-71.0674657,13.1,7.5,68.1,9.6,0,54.3,45.7,229,68.4,142,42.4,106,31.6,196,58.5,335
350020,2017,Curley K-8 School,0,Middle,Jamaica Plain,42.3185445,-71.1131934,18.7,2.5,53.8,20.1,0,49.6,50.4,450,47.5,346,36.5,248,26.2,495,52.2,948
350062,2017,Curtis Guild,0,Primary,East Boston,42.3884035,-71.0042158,1,0.6,81.2,16.5,0,52.4,47.6,236,76.4,206,66.7,65,21,174,56.3,309
350066,2017,Dante Alighieri Montessori School,0,Primary,East Boston,42.37144,-71.0377263,1,0,62.5,30.2,0,49,51,57,59.4,47,49,10,10.4,32,33.3,96
350072,2017,David A Ellis,0,Primary,Roxbury,42.3168619,-71.0923264,35.8,0.2,59.6,2.5,0.2,49.8,50.2,194,44.3,164,37.4,60,13.7,331,75.6,438
350074,2017,Dearborn,0,High,Dorchester,42.3071524,-71.081162,67.3,0.3,26.5,1.6,0.6,55,45,201,65,149,48.2,40,12.9,190,61.5,309
350077,2017,Dennis C Haley,0,Middle,Roslindale,42.2865865,-71.10753,30.8,1.1,36.9,24.8,0.2,48.5,51.5,102,22.6,79,17.5,140,31,187,41.4,452
350080,2017,Donald Mckay,0,Middle,East Boston,42.3693328,-71.0342229,2.2,0.5,89.2,7.2,0,51.2,48.8,621,84.8,435,59.4,95,13,368,50.3,732
350008,2017,Dr. Catherine Ellison-Rosa Parks Early Ed School,0,Primary,Mattapan,42.271761,-71.0916533,50.3,1.1,42.9,3.2,1.1,55.6,44.4,107,56.6,102,54,40,21.2,119,63,189
350426,2017,Dr. William Henderson Upper,0,High,Dorchester,42.2813427,-71.0693692,43.2,6.7,25.7,21.6,0.2,54.7,45.3,127,25.1,58,11.5,215,42.6,276,54.7,505
350375,2017,Edison K-8,0,Middle,Brighton,42.3454496,-71.1602156,19.9,15.7,45.3,15.7,0.6,54.4,45.6,421,61.2,334,48.5,151,21.9,407,59.2,688
350088,2017,Edward Everett,0,Primary,Dorchester,42.313644,-71.0598517,42.8,19.1,30.6,4,0.4,52.9,47.1,130,46.8,97,34.9,41,14.7,174,62.6,278
350096,2017,Eliot Elementary,0,Middle,Boston,42.366089,-71.0534446,9.5,6.8,19.7,58.1,0.2,50.7,49.3,90,16.1,54,9.7,113,20.3,114,20.4,558
350100,2017,Ellis Mendell,0,Primary,Roxbury,42.3165223,-71.1015415,22.5,0.4,33.6,36.1,0,52.5,47.5,67,27.5,58,23.8,55,22.5,85,34.8,244
350116,2017,Franklin D Roosevelt,0,Middle,Hyde Park,42.2432583,-71.1243344,33.1,2.2,43,20.1,0,49,51,138,30.5,81,17.9,114,25.2,198,43.7,453
350326,2017,Gardner Pilot Academy,0,Middle,Allston,42.3606634,-71.1339433,12,5.2,64.8,13.5,0,53.1,46.9,268,66.8,196,48.9,93,23.2,206,51.4,401
350122,2017,George H Conley,0,Primary,Roslindale,42.274782,-71.1270732,36.5,2.7,39.2,18.9,0,56.3,43.7,72,32.4,55,24.8,73,32.9,107,48.2,222
350200,2017,Harvard-Kent,0,Primary,Charlestown,42.3765831,-71.0578957,23,29.1,34.5,10.1,0.2,55.8,44.2,279,56.4,233,47.1,107,21.6,369,74.5,495
350135,2017,Henry Grew,0,Primary,Hyde Park,42.2568721,-71.127166,42.7,2.1,42.7,7.1,0,49.8,50.2,66,27.6,49,20.5,12,5,158,66.1,239
350377,2017,Higginson/Lewis K-8,0,Middle,Roxbury,42.320959,-71.0868644,51.5,0.8,40.3,1.7,0.6,55.2,44.8,96,27,69,19.4,96,27,280,78.9,355
350750,2017,Horace Mann School for the Deaf,0,High,Allston,42.3519838,-71.1377032,37.8,6.7,41.1,11.1,0,61.1,38.9,54,60,40,44.4,88,97.8,66,73.3,90
350141,2017,Hugh Roe O'Donnell,0,Primary,East Boston,42.3779326,-71.0379091,0.7,2.6,91.2,4,0,51.5,48.5,229,84.2,200,73.5,34,12.5,145,53.3,272
350013,2017,Jackson Mann,0,Middle,Allston,42.3519838,-71.1377032,38.4,11,39.1,8.1,0.3,57.5,42.5,368,48.1,280,36.6,162,21.2,483,63.1,765
