school_id,year,success,ela_success,math_success
260305,2017,8.897499999999997,8.559999999999997,9.234999999999996
4200205,2017,7.795000000000002,7.990000000000004,7.6
4470205,2017,8.529999999999998,8.484999999999996,8.575
35110205,2017,5.725,5.5,5.95
270010,2017,7.375000000000004,7.630000000000007,7.120000000000002
270305,2017,6.587500000000004,6.490000000000004,6.685000000000005
4140305,2017,6.632500000000006,6.580000000000007,6.685000000000005
6180310,2017,5.920000000000002,6.175,5.665000000000004
6180035,2017,5.155000000000003,5.365000000000004,4.945000000000002
280005,2017,6.872500000000006,6.9100000000000055,6.835000000000005
6200505,2017,7.015000000000003,6.85,7.180000000000007
300055,2017,6.925000000000004,6.805000000000007,7.045000000000002
300305,2017,6.482500000000006,6.5350000000000055,6.430000000000007
300010,2017,6.370000000000001,6.640000000000003,6.1
