SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Boston - Paul A Dever, 00350268,22.9,5.5,64.3,4.3,0.2,0.2,2.4,53.5,46.5
Boston - Pauline Agassiz Shaw Elementary School, 00350014,65.5,3,25.1,3,0,0,3.4,53.7,46.3
Boston - Phineas Bates, 00350278,27.5,5.7,37.1,23.9,0.4,0,5.4,51.1,48.9
Boston - Quincy Upper School, 00350565,21.3,51,20.4,4.3,0.2,0.2,2.6,55.1,44.9
Boston - Rafael Hernandez, 00350691,2.2,0,90.4,5.4,0,0,2,45.5,54.5
Boston - Richard J Murphy, 00350240,18.7,38.9,20,18.3,0.3,0.4,3.4,53.5,46.5
Boston - Roger Clap, 00350298,37.6,5.9,28.8,25.3,0.6,0,1.8,47.1,52.9
Boston - Samuel Adams, 00350302,4.1,0.3,75.5,18,0.7,0,1.4,53.1,46.9
Boston - Samuel W Mason, 00350304,49.4,1.7,37.2,6.1,0.4,0.9,4.3,56.7,43.3
Boston - Sarah Greenwood, 00350308,23.6,0,73.7,1,0,0.3,1.5,51.6,48.4
Boston - Snowden International School at Copley, 00350690,35.3,6.6,49.7,5.2,0.5,0.7,2.1,47.4,52.6
Boston - TechBoston Academy, 00350657,65.9,3.8,24.2,2.9,0.4,0.2,2.6,55.5,44.5
Boston - The English High, 00350535,41.6,1.6,53.9,2,0.4,0,0.5,55.7,44.3
Boston - Thomas J Kenny, 00350328,41.3,17.2,20.5,16.6,0.3,0,4.2,53.9,46.1
Boston - UP Academy Holland, 00350167,43.5,4.6,41.8,3.6,0,0.1,6.5,50.9,49.1
Boston - Urban Science Academy, 00350579,50.9,1.4,36.3,8.3,0.2,0,2.8,60,40
Boston - Warren-Prescott, 00350346,13.7,5.3,24.4,51.4,0.3,0.2,4.6,53.6,46.4
Boston - Washington Irving Middle, 00350445,41.3,1.2,47.4,7.3,0.6,0,2.3,51.7,48.3
Boston - West Roxbury Academy, 00350658,47.4,2,37.7,10.5,0.6,0.2,1.6,53.4,46.6
Boston - William E Russell, 00350366,29.9,11.9,51.7,2.1,0.8,0.3,3.4,50.9,49.1
Boston - William Ellery Channing, 00350360,48.8,1.6,38.9,7.8,0,0.4,2.5,45.9,54.1
Boston - William H Ohrenberger, 00350258,23.4,4.7,44,23.6,0.2,0.3,3.8,56,44
Boston - William McKinley, 00350363,47.8,0.9,37.4,10.4,0.3,0,3.3,72.4,27.6
Boston - William Monroe Trotter, 00350370,59.9,0.6,32.5,2.8,0,0.7,3.5,52.1,47.9
Boston - Winship Elementary, 00350374,18.5,12.3,36.2,28,0,0.4,4.5,54.7,45.3
Boston - Young Achievers, 00350380,52.6,0,44.2,1.5,0.2,0,1.5,51.4,48.6
Boston Collegiate Charter (District) - Boston Collegiate Charter School, 04490305,27.5,2.2,19.7,47.5,0.7,0,2.4,48.1,51.9
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School, 04240505,48.3,2,40.1,5.2,1,0.2,3.2,42.3,57.7
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School, 04110305,54.8,0.8,32.6,7.4,0,0,4.4,51.5,48.5
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School, 04160305,69.2,1,24.8,2.4,0.5,0.2,1.9,51.8,48.2
Boston Renaissance Charter Public (District) - Boston Renaissance Charter Public School, 04810550,64.1,0.3,31,1.5,0.1,0,3,49.3,50.7
Bourne - Bourne High School, 00360505,1.6,2.1,4.4,87.6,0,0.2,4.1,50.5,49.5
Bourne - Bourne Middle School, 00360325,1.4,2.4,3,89.5,0.8,0,3,49.1,50.9
Bourne - Bournedale Elementary School, 00360005,1.6,0.7,3.7,89.6,0.9,0.2,3.2,53.3,46.7
Bourne - Peebles Elementary School, 00360010,2.3,1.4,3.7,86.5,2,0.3,3.9,50.1,49.9
Boxford - Harry Lee Cole, 00380005,0,4.6,3.1,87.2,0.3,0,4.9,55.4,44.6
Boxford - Spofford Pond, 00380013,0.2,3.3,2.6,91.4,0,0.2,2.3,50.9,49.1
Boylston - Boylston Elementary, 00390005,1.4,4.8,3.4,86,0.7,0,3.8,48.1,51.9
Braintree - Archie T Morrison, 00400033,8.6,13.3,5.2,70.8,0,0.2,1.9,49.4,50.6
Braintree - Braintree High, 00400505,5.9,13.1,3.7,76.3,0.1,0.1,0.8,50,50
Braintree - Donald Ross, 00400050,7.1,17.7,7.8,64.5,1.4,0,1.4,55,45
Braintree - East Middle School, 00400305,6.8,13.5,3.8,73.5,0.4,0,1.9,51.4,48.6
Braintree - Highlands, 00400015,2.6,13.6,2.6,80.5,0.5,0,0.2,49.2,50.8
Braintree - Hollis, 00400005,2.8,17.2,4.8,73.3,0.5,0,1.4,53.1,46.9
Braintree - Liberty, 00400025,1.6,24.3,5.1,67.4,0,0.2,1.3,47.8,52.2
Braintree - Mary E Flaherty School, 00400020,2.2,22.4,5.1,68.2,0.3,0,1.9,49.6,50.4
Braintree - Monatiquot Kindergarten Center, 00400009,5,16.8,4.6,70.6,0.4,0,2.7,51.1,48.9
Braintree - South Middle School, 00400310,2.2,16.1,3.8,76.7,0.1,0,1,48.7,51.3
Brewster - Eddy Elementary, 00410010,2.6,1.3,4.7,88.4,0,0,3,50.6,49.4
Brewster - Stony Brook Elementary, 00410005,2.7,0.8,8.1,82.6,0,0,5.8,48.3,51.7
Bridge Boston Charter School (District) - Bridge Boston Charter School, 04170205,60.7,1.5,33,0.4,0.7,0,3.7,46.4,53.6
Bridgewater-Raynham - Bridgewater Middle School, 06250320,3.6,0.8,2,89.7,0,0.2,3.8,54.2,45.8
Bridgewater-Raynham - Bridgewater-Raynham Regional, 06250505,3.9,2.3,2.7,87.4,0.2,0.1,3.4,50,50
Bridgewater-Raynham - Laliberte Elementary School, 06250050,4.6,1.8,2,89,0.4,0,2.2,54.2,45.8
Bridgewater-Raynham - Merrill Elementary School, 06250020,5.9,2.8,0.3,89.2,0,0,1.9,50.3,49.7
Bridgewater-Raynham - Mitchell Elementary School, 06250002,6,1.6,2.7,86.1,0,0.1,3.5,52.9,47.1
Bridgewater-Raynham - Raynham Middle School, 06250315,2.7,2.3,2.7,88.6,0,0.1,3.5,49.5,50.5
Bridgewater-Raynham - Therapeutic Day School, 06250415,0,0,0,90.9,0,0,9.1,54.5,45.5
Bridgewater-Raynham - Williams Intermediate School, 06250300,3.5,1.1,3,86.6,0.4,0.3,5.1,53.3,46.7
Brimfield - Brimfield Elementary, 00430005,3.5,1.8,0.4,94.4,0,0,0,49.1,50.9
Bristol County Agricultural - Bristol County Agricultural High, 09100705,0.2,0.2,2.6,95.5,0.2,0,1.3,28.2,71.4
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical, 08100605,2.9,0.7,6.4,86.4,0.5,0,3.1,57.7,42.1
Brockton - Ashfield Middle School, 00440421,42.7,1.6,9.2,41.7,0.2,0.4,4.1,50.7,49.3
Brockton - Barrett Russell School, 00440007,58.9,1.8,19.2,11,0.5,0,8.7,53.4,46.6
Brockton - Brockton Champion High School, 00440515,38.4,0.6,24.9,28.8,0.6,0.6,6.2,61,39
Brockton - Brockton High, 00440505,62.2,2.6,12.5,18.8,0.4,0.2,3.4,50.5,49.5
Brockton - Brookfield, 00440010,55.4,1.7,10.4,28.3,0.2,0.3,3.6,52.5,47.5
Brockton - Downey, 00440110,51.5,2.1,16.8,21.7,0.9,0.5,6.6,56.6,43.4
Brockton - Dr W Arnone Community School, 00440001,62,0.2,18.2,11,1,0,7.5,54.2,45.8
Brockton - East Middle School, 00440405,69.8,0.7,11.3,13.5,0,0.6,4.1,55.2,44.8
Brockton - Edgar B Davis, 00440023,60.9,0.3,14.7,17.9,0.2,0.5,5.5,49.6,50.4
Brockton - Edison Academy, 00440520,71.9,1.3,11.8,13.7,0,0,1.3,52.3,47.7
Brockton - Frederick Douglass Academy, 00440080,77.1,0,14.3,5.7,0,0,2.9,80,20
Brockton - Gilmore School Early Childhood Center, 00440050,57.3,1.7,9.4,27.1,0.3,0,4.2,63.5,36.5
Brockton - Goddard Alternative School, 00440400,41.7,0,14.6,41.7,0,0,2.1,66.7,33.3
Brockton - Hancock, 00440045,46,3.6,8.7,36.1,0.4,0.3,4.8,50.4,49.6
Brockton - Huntington, 00440055,76.4,0.2,12.9,6.3,0.4,0,3.8,51.6,48.4
Brockton - John F Kennedy, 00440017,44.6,5.1,11.1,31.4,0,0,7.8,50.1,49.9
Brockton - Joseph F. Plouffe Academy, 00440422,39.2,2.6,26.7,25,0.4,0.1,5.9,48.2,51.8
Brockton - Louis F Angelo Elementary, 00440065,53.2,6.3,13.1,22.1,0.8,0.1,4.3,51.8,48.2
Brockton - Manthala George Jr. School, 00440003,36.4,0.4,46.5,11.9,0.8,0,4,50.5,49.5
Brockton - Mary E. Baker School, 00440002,50.2,1.7,12.9,31,0.1,0,4,51.8,48.2
Brockton - North Middle School, 00440410,70.9,2.1,14.5,8.9,0.2,0.4,3,53,47
Brockton - Oscar F Raymond, 00440078,76.5,0.7,8.9,10,0.5,0,3.5,53.1,46.9
Brockton - South Middle School, 00440415,51.3,3.1,16,22.8,0,0.4,6.4,52.8,47.2
Brockton - West Middle School, 00440420,50.6,3.5,14.9,24.8,0.3,0.5,5.4,49.8,50.2
Brooke Charter School (District) - Brooke Charter School, 04280305,54.5,1.9,35.8,5.4,0.4,0,2,48.8,51.2
Brookfield - Brookfield Elementary, 00450005,0.3,0,4.1,90.6,0.3,0,4.7,49.4,50.6
Brookline - Brookline Early Education Program at Beacon, 00460001,3.3,15,8.3,58.3,0,0,15,50,50
Brookline - Brookline Early Education Program at Putterham, 00460002,4.7,29.7,7.8,42.2,0,0,15.6,60.9,39.1
Brookline - Brookline High, 00460505,7.6,16.7,10.4,57.2,0,0,8,50.2,49.8
Brookline - Edith C Baker, 00460005,5.1,25.4,10.1,51.3,0,0.3,7.9,50.8,49.2
Brookline - Edward Devotion, 00460015,4.9,12.9,13.4,58.8,0,0,10,51.9,48.1
Brookline - Heath, 00460025,3.8,17.6,9,60.9,0,0,8.7,49.1,50.7
Brookline - John D Runkle, 00460045,3.1,15.2,10.1,60.8,0,0,10.8,51.9,48.1
Brookline - Lawrence, 00460030,5.8,31.5,8.4,46.1,0,0.1,8,51.8,48.2
Brookline - Michael Driscoll, 00460020,5.3,14.7,7.5,57.8,0.2,0,14.5,51.2,48.8
Brookline - Pierce, 00460040,5.2,20.7,10.3,55.5,0,0,8.3,48.8,51.2
Brookline - The Lynch Center, 00460060,8.8,17.6,13.2,48.5,0,0,11.8,60.3,39.7
Brookline - William H Lincoln, 00460035,9.9,22.2,12,48.4,0,0,7.5,49.5,50.5
Burlington - Burlington High, 00480505,4.4,16.4,5.7,70.1,0.5,0.1,2.8,51.4,48.6
Burlington - Fox Hill, 00480007,5.7,21.1,4.9,64.4,0,0,3.9,53.6,46.4
Burlington - Francis Wyman Elementary, 00480035,9.8,19.8,7.2,60.1,0.2,0,2.8,49.1,50.9
Burlington - Marshall Simonds Middle, 00480303,5.6,11.3,4.6,73.9,0.4,0,4.1,53,46.9
Burlington - Memorial, 00480015,5.2,18.1,4.4,66.1,0.5,0,5.7,52.1,47.9
Burlington - Pine Glen Elementary, 00480020,3.1,16,6.5,70.7,0,0,3.7,45.6,54.4
Cambridge - Amigos School, 00490006,5,3.4,43.3,39.1,0,0,9.2,44.3,55.7
Cambridge - Cambridge Rindge and Latin, 00490506,30.3,11.9,13.5,38.9,0.6,0.2,4.7,51.8,48.2
Cambridge - Cambridge Street Upper School, 00490305,30.3,9.6,17.6,35.2,1.1,0.4,5.7,49.8,50.2
Cambridge - Cambridgeport, 00490007,19.9,8,10,54,0,0,8,55,45
Cambridge - Fletcher/Maynard Academy, 00490090,49.6,8.8,15.4,20.4,0.4,0,5.4,51.5,48.5
Cambridge - Graham and Parks, 00490080,18.9,20.9,5.9,49.2,0,0,5.1,51,49
Cambridge - Haggerty, 00490020,22.5,13.4,6.3,46.2,0,0,11.5,49.8,50.2
Cambridge - John M Tobin, 00490065,25.1,15.1,11,38.5,0.7,0,9.6,50.9,49.1
Cambridge - Kennedy-Longfellow, 00490040,18.4,19.9,17.7,37.2,0,0,6.8,52.3,47.7
Cambridge - King Open, 00490035,18.2,8.9,16.6,45.8,0.3,0,10.2,52.6,47.4
Cambridge - Maria L. Baldwin, 00490005,17.4,9.6,12.9,48.6,0.3,0,11.2,48.9,51.1
Cambridge - Martin Luther King Jr., 00490030,26.2,22.4,6.6,27.4,0,0,17.4,50.5,49.5
Cambridge - Morse, 00490045,23.2,13.1,10.8,41.5,0.7,0.3,10.5,52.9,47.1
Cambridge - Peabody, 00490050,24.4,12.3,6.6,49.1,0,0,7.6,47.8,52.2
Cambridge - Putnam Avenue Upper School, 00490310,35.9,10.7,17.6,25.6,0.4,1.1,8.8,47.7,52.3
Cambridge - Rindge Avenue Upper School, 00490315,30.9,9.8,10.5,40,0.7,0.4,7.6,52.7,47.3
Cambridge - Vassal Lane Upper School, 00490320,26.1,14.2,6.7,44,0.7,0.4,7.8,48.5,51.5
Canton - Canton High, 00500505,10.8,9.1,4.2,71.8,0,0.1,3.9,48.8,51
Canton - Dean S Luce, 00500020,10,12.6,4.7,65.4,0.2,0.8,6.3,48,52
Canton - John F Kennedy, 00500017,5.4,11.5,3.4,75.6,0,0,4.2,53.6,46.4
Canton - Lt Peter M Hansen, 00500012,13.7,10.8,5.8,63.7,0,0,6,48.4,51.6
Canton - Rodman Early Childhood Center, 00500010,21.1,7.8,6.7,58.9,0,0,5.6,56.7,43.3
Canton - Wm H Galvin Middle, 00500305,11.3,10.1,4.7,69.8,0,0.1,3.9,49.2,50.8
Cape Cod Lighthouse Charter (District) - Cape Cod Lighthouse Charter School, 04320530,1.2,1.2,4.5,87.7,0,0,5.3,42.8,57.2
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical, 08150605,5.1,1,10.4,76.2,2.1,0.2,5,62.4,37.6
Carlisle - Carlisle School, 00510025,0.5,11.5,3.2,76.1,0,0,8.6,54.9,45.1
Carver - Carver Elementary School, 00520015,1.3,0.3,1,96.3,0,0.1,1,50.4,49.6
Carver - Carver Middle/High School, 00520405,1.3,0.2,1.1,95.6,0.1,0.1,1.6,50.7,49.3
Central Berkshire - Becket Washington School, 06350005,0,0,0,96.8,0,0,3.2,56,44
Central Berkshire - Craneville, 06350025,0.2,2.1,3.8,89.8,0,0,4,53.6,46.4
Central Berkshire - Kittredge, 06350035,1.5,0.7,3,91.8,0,0,3,53,47
Central Berkshire - Nessacus Regional Middle School, 06350305,1,1,2.8,91.2,0.3,0,3.8,52.3,47.7
Central Berkshire - Wahconah Regional High, 06350505,1.1,0.7,4.1,92.3,0,0,1.8,49.4,50.6
Chelmsford - Byam School, 00560030,2,9.7,5.5,79,0.8,0,3,56.8,43.2
Chelmsford - Center Elementary School, 00560005,2.5,14.3,4.4,75.1,0,0.2,3.5,49.3,50.7
Chelmsford - Charles D Harrington, 00560025,4.2,16.1,7.9,67.5,0,0,4.2,55.2,44.8
Chelmsford - Chelmsford High, 00560505,2.6,11.9,3.8,79.9,0,0.1,1.8,48.9,51.1
Chelmsford - Col Moses Parker School, 00560305,2.2,14.6,4.8,76.4,0,0,1.9,50.5,49.5
Chelmsford - Community Education Center, 00560001,3.7,19.9,8.8,61.8,1.5,0,4.4,57.4,42.6
Chelmsford - McCarthy Middle School, 00560310,3.1,13.2,4,77.3,0,0.4,2.1,50.8,49.2
Chelmsford - South Row, 00560015,1.1,17.4,6.3,71.5,0,0,3.7,56.2,43.8
Chelsea - Chelsea High, 00570505,6.6,2.3,85,5.6,0,0.1,0.5,52,48
Chelsea - Clark Avenue School, 00570050,3.3,1.3,89.4,4.8,0.4,0,0.9,55.4,44.6
Chelsea - Edgar A Hooks Elementary, 00570030,7.1,1,80.7,9,0.5,0,1.7,54.8,45.2
Chelsea - Eugene Wright Science and Technology Academy, 00570045,6.2,1.5,83,7.3,0.6,0,1.3,56.8,43.2
Chelsea - Frank M Sokolowski Elementary, 00570040,5.5,1.2,84.7,6.5,0,0,2.2,51.4,48.6
Chelsea - George F. Kelly Elementary, 00570035,2.1,0.7,91.6,4.2,0,0,1.4,50.4,49.6
Chelsea - Joseph A. Browne School, 00570055,5.9,2.1,86.6,5.2,0,0,0.2,48.8,51.2
Chelsea - Shurtleff Early Childhood, 00570003,6.6,0.5,85.5,6.6,0.1,0,0.7,51.7,48.3
Chelsea - William A Berkowitz Elementary, 00570025,5.9,1.1,82.8,9.2,0,0.2,0.7,53.8,46.2
Chesterfield-Goshen - New Hingham Regional Elementary, 06320025,0.7,0,2.9,95,1.4,0,0,48.6,51.4
Chicopee - Barry, 00610003,1.9,3.5,29.2,62.6,0,0.2,2.6,57.2,42.8
Chicopee - Belcher, 00610010,7.4,0,34.9,55.4,0,0,2.2,52.8,47.2
Chicopee - Bellamy Middle, 00610305,2.7,2,33.8,58.4,0.4,0,2.8,50.9,49.1
Chicopee - Bowe, 00610015,4.9,0.7,52.2,37.2,0.2,0,4.9,48.5,51.5
Chicopee - Bowie, 00610020,4.1,0.8,18,73.8,0,0.3,3,48.9,51.1
Chicopee - Chicopee Academy, 00610021,4.7,0,63.2,27.4,0,0,4.7,75.5,24.5
Chicopee - Chicopee Comprehensive High School, 00610510,2.3,2.5,26.2,66.9,0.1,0.2,1.8,53.5,46.5
Chicopee - Chicopee High, 00610505,4.6,2,37.4,54.5,0,0.1,1.4,49.1,50.9
Chicopee - Dupont Middle, 00610310,4.3,1.6,36.2,54.5,0.1,0.1,3.3,55.3,44.7
Chicopee - Fairview Elementary, 00610050,2.7,2,46.4,44.9,0,0,4,50.2,49.8
Chicopee - Gen John J Stefanik, 00610090,5.9,0.3,70.8,20.5,0,0,2.6,51.9,48.1
Chicopee - Lambert-Lavoie, 00610040,3,2,23.3,68.5,0,0,3.3,50.8,49.2
Chicopee - Litwin, 00610022,4.5,0.5,32.7,59.7,0,0,2.6,52.4,47.6
Chicopee - Streiber Memorial School, 00610065,3.5,2.5,24.3,64.8,0,0.4,4.6,51.1,48.9
Chicopee - Szetela Early Childhood Center, 00610001,4.6,4.6,24.6,62.3,0,0,3.9,60.1,39.9
Christa McAuliffe Charter Public (District) - Christa McAuliffe Charter Public School, 04180305,5.6,6.1,21,60.5,1,0.3,5.6,52.4,47.6
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street, 04370505,65.2,0,29.7,2.9,0.4,0.4,1.4,45.2,54.8
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square, 35040505,71.2,1.8,22.8,3.2,0,0,1.1,42.3,57.7
City on a Hill Charter Public School New Bedford (District) - City on a Hill Charter Public School New Bedford, 35070505,10.7,0.6,49.2,34.5,0,0,5.1,46.9,53.1
Clarksburg - Clarksburg Elementary, 00630010,0.6,0.6,1.2,96,0,0,1.7,46.2,53.8
Clinton - Clinton Elementary, 00640050,3,1.1,22,72,0,0,2,52.7,47.3
Clinton - Clinton Middle School, 00640305,4.7,1.1,22,70.9,0,0,1.3,55.4,44.6
Clinton - Clinton Senior High, 00640505,4.1,2.6,28.8,63.5,0.2,0,0.9,54.1,45.9
Codman Academy Charter Public (District) - Codman Academy Charter Public School, 04380505,80.5,0,17.5,0.6,0.3,0.6,0.6,49.9,50.1
Cohasset - Cohasset Middle/High School, 00650505,3.2,2.6,1.2,92.1,0.4,0,0.5,50.7,49.3
Cohasset - Deer Hill, 00650005,2.4,1.3,0.5,95,0,0,0.8,55,45
Cohasset - Joseph Osgood, 00650010,2.7,2.7,1.1,90.7,0,0,2.7,51.6,48.4
Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell, 35030205,19.8,20.3,37.2,18,0.2,0,4.6,48.9,51.1
Community Charter School of Cambridge (District) - Community Charter School of Cambridge, 04360305,62,3.5,24.3,5.1,1.6,0.3,3.2,47.3,52.7
Community Day Charter Public School - Gateway (District) - Community Day Charter Public School - Gateway, 04260205,0.7,0.7,96.4,2.1,0,0,0,51.4,48.6
Community Day Charter Public School - Prospect (District) - Community Day Charter Public School - Prospect, 04400205,0.5,0.5,95.8,3.3,0,0,0,50.5,49.5
Community Day Charter Public School - R. Kingman Webster (District) - Community Day Charter Public School - R. Kingman Webster, 04310205,1.1,1.1,93.6,4.3,0,0,0,48.9,51.1
Concord - Alcott, 00670005,7.8,7.4,9.9,67.9,0.2,0,6.8,49.9,50.1
Concord - Concord Middle, 00670305,4.8,5.9,4.2,80.6,0.1,0,4.5,47.7,52.3
Concord - Thoreau, 00670020,1.5,7.3,5.1,77.1,0,0,9,53.7,46.3
Concord - Willard, 00670030,1.5,5.5,5.1,82.8,0.2,0,4.9,54.3,45.7
Concord-Carlisle - Concord Carlisle High, 06400505,4.3,9.5,4,78.5,0,0,3.7,47.8,52.1
Conservatory Lab Charter (District) - Conservatory Lab Charter School, 04390050,50.9,2.9,32,10.4,0,0,3.8,44.9,55.1
Conway - Conway Grammar, 00680005,0,0,3.5,95,0,0,1.4,56,44
Danvers - Danvers High, 00710505,1.7,2.7,4.8,89.2,0.2,0,1.3,48.9,51.1
Danvers - Great Oak, 00710015,2.3,0,9.6,82.5,0,0,5.6,53.3,46.7
Danvers - Highlands, 00710010,3.7,3.7,6.7,80.2,0.3,0.5,4.8,49.7,50.3
Danvers - Holten Richmond Middle School, 00710305,1.6,2.1,7.4,85.8,0.1,0,3,51.1,48.9
Danvers - Ivan G Smith, 00710032,1.7,4.2,8.7,83.9,0,0,1.4,47.2,52.8
Danvers - Riverside, 00710030,2.5,3.2,7.6,84.2,0.4,0,2.2,55.8,44.2
Danvers - Willis E Thorpe, 00710045,1.8,2.1,5.8,89,0.9,0,0.3,53.5,46.5
Dartmouth - Andrew B. Cushman School, 00720005,1.2,1.9,3.1,86.3,0,0,7.5,57.8,42.2
Dartmouth - Dartmouth High, 00720505,1.1,0.4,2.4,90.6,0,0.2,5.3,50.5,49.5
Dartmouth - Dartmouth Middle, 00720050,1.7,0.4,2.6,90.1,0,0,5.3,51.6,48.4
Dartmouth - George H Potter, 00720030,1.9,0.2,4.4,88.8,0,0,4.7,54.1,45.9
Dartmouth - James M. Quinn School, 00720040,1,1.6,3.1,87.4,0,0,7,54.6,45.4
Dartmouth - Joseph Demello, 00720015,0.7,0.5,3.8,90.2,0,0,4.8,49.9,50.1
Dedham - Avery, 00730010,9.4,3.6,24,56.5,0.6,0,5.8,52.3,47.7
Dedham - Dedham High, 00730505,11.6,3.8,13.9,69.3,0,0,1.4,49.9,50.1
Dedham - Dedham Middle School, 00730305,6.8,2.4,14.3,73.1,0.3,0,3.2,51.3,48.7
Dedham - Early Childhood Center, 00730005,5,1.4,14.9,69.1,0.7,0,8.9,52.1,47.9
Dedham - Greenlodge, 00730025,3.2,1.8,6.1,84.9,0,0,4,54.3,45.7
Dedham - Oakdale, 00730030,7,1.8,9.6,73.9,0,0,7.7,46.7,53.3
Dedham - Riverdale, 00730045,6.6,2.2,14.2,74.3,0,0,2.7,57.4,42.6
Deerfield - Deerfield Elementary, 00740015,0.2,1.7,6.7,85.3,0,0,6,50.4,49.6
Dennis-Yarmouth - Dennis-Yarmouth Regional High, 06450505,10,2.9,10.3,70.2,1.6,0.1,5,50.7,49.3
Dennis-Yarmouth - Ezra H Baker Innovation School, 06450005,9.9,1.4,9.6,69.4,0.8,0,8.8,54.1,45.9
Dennis-Yarmouth - Marguerite E Small Elementary, 06450015,7.5,1.6,17.6,59.2,4.9,0.3,8.8,59.5,40.5
Dennis-Yarmouth - Mattacheese Middle School, 06450305,10.2,1.9,8.5,73.5,2.1,0,3.8,51.5,48.5
Dennis-Yarmouth - N H Wixon Innovation School, 06450050,7.4,2.9,11.5,70.6,2.3,0,5.3,49.4,50.6
Dennis-Yarmouth - Station Avenue Elementary, 06450025,6.6,1.6,5.9,74.8,2.8,0.2,8,51.3,48.7
Dighton-Rehoboth - Dighton Elementary, 06500005,0.2,1.4,6.2,87.6,0,0,4.5,49.8,50.2
Dighton-Rehoboth - Dighton Middle School, 06500305,1,0.8,3.8,91.4,0,0,3,54.8,45.2
Dighton-Rehoboth - Dighton-Rehoboth Regional High School, 06500505,1,1.1,4.3,91.6,0,0,2,55.6,44.4
Dighton-Rehoboth - Dorothy L Beckwith, 06500310,0.5,0.9,4,91.8,0.2,0,2.6,50.4,49.6
Dighton-Rehoboth - Palmer River, 06500010,1.2,1.8,3.9,89.9,0.4,0,2.8,48.6,51.4
Douglas - Douglas Elementary School, 00770015,0.5,1.5,1.5,93.6,0,0,3,53.2,46.8
Douglas - Douglas High School, 00770505,0.5,1,2.5,94.4,0,0.3,1.3,47.2,52.8
Douglas - Douglas Middle School, 00770305,0.6,1.9,4.2,91.1,0,0.6,1.7,50.6,49.4
Douglas - Douglas Primary School, 00770005,0,0.9,4.3,92.2,0,0,2.6,53.9,46.1
Dover - Chickering, 00780005,2.9,12.8,4.6,74.7,0,0.2,4.8,54.9,45.1
Dover-Sherborn - Dover-Sherborn Regional High, 06550505,2.3,6.1,2.6,85.7,0,0,3.2,48.6,51.4
Dover-Sherborn - Dover-Sherborn Regional Middle School, 06550405,3.1,8.6,2.7,81.3,0.4,0,4,50.7,49.3
Dracut - Brookside Elementary, 00790035,10.2,6.5,8,74.7,0.2,0,0.4,51.6,48.4
Dracut - Dracut Senior High, 00790505,5.7,5.5,6.1,80.3,0,0.2,2.1,47.7,52.3
Dracut - George H. Englesby Elementary School, 00790045,4.5,6.1,11,76,0,0,2.4,49.2,50.8
Dracut - Greenmont Avenue, 00790030,3.9,4.6,11.8,78.6,0,0,1.1,51.4,48.6
Dracut - Joseph A Campbell Elementary, 00790020,3.1,2.9,4.8,87.5,0,0,1.6,54.4,45.6
Dracut - Justus C. Richardson Middle School, 00790410,5.8,6.2,7.5,78.6,0.2,0,1.7,50.8,49.2
Dudley Street Neighborhood Charter School (District) - Dudley Street Neighborhood Charter School, 04070405,61,0,36.6,1.4,0.7,0,0.3,45.2,54.8
Dudley-Charlton Reg - Charlton Elementary, 06580020,0.6,1.1,8.3,86.2,0,0,3.7,57.2,42.8
Dudley-Charlton Reg - Charlton Middle School, 06580310,0.6,1,6,90.5,0,0.1,1.8,51,49
Dudley-Charlton Reg - Dudley Elementary, 06580005,2.7,0.3,8.3,86.1,0,0,2.7,52.3,47.7
Dudley-Charlton Reg - Dudley Middle School, 06580305,1.8,1.9,8.8,85.3,0,0,2.3,48.6,51.4
Dudley-Charlton Reg - Heritage School, 06580030,1,1,8.7,86.5,0,0.2,2.6,54.2,45.8
Dudley-Charlton Reg - Mason Road School, 06580010,2.7,0,13.1,82.2,0.4,0,1.5,49.4,50.6
Dudley-Charlton Reg - Shepherd Hill Regional High, 06580505,1.7,2.2,6.7,87,0.3,0.2,1.8,48.2,51.8
Duxbury - Alden School, 00820004,0.1,1.4,2.4,92.8,0.1,0,3.1,49.2,50.8
Duxbury - Chandler Elementary, 00820006,0.7,1.2,2.1,91.6,0,0,4.4,51.1,48.9
Duxbury - Duxbury High, 00820505,0.3,1.2,1.3,95.9,0,0,1.2,51.2,48.8
Duxbury - Duxbury Middle, 00820305,0.1,1.5,2.3,92.9,0.1,0,3.1,53.1,46.9
East Bridgewater - Central, 00830005,2.1,0.7,1.8,89.7,0.4,0.2,5.2,50.4,49.6
East Bridgewater - East Bridgewater JR./SR. High School, 00830505,2.8,0.3,1.9,93.2,0.2,0.2,1.4,48.6,51.2
East Bridgewater - Gordon W Mitchell, 00830010,3.2,0.7,2,90.4,0.3,0,3.3,54.9,44.9
East Longmeadow - Birchland Park, 00870305,2.2,5.9,5.4,85.5,0,0.2,0.8,52.4,47.6
