SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Attleboro - Cyril K. Brennan Middle School, 00160315,4.2,4.9,18.1,64.9,0.4,0.4,7.2,53.3,46.7
Attleboro - Early Learning Center, 00160008,3.7,3.7,10.7,75.9,0,0,5.9,61.5,38.5
Attleboro - Hill-Roberts Elementary School, 00160045,6,3.9,12.8,68.3,0.9,0,8.1,55,45
Attleboro - Hyman Fine Elementary School, 00160040,4.3,6.3,12.6,70.7,0,0,6.1,47.2,52.8
Attleboro - Peter Thacher Elementary School, 00160050,3.8,6.1,11.7,68.8,0,0,9.6,53.8,46.2
Attleboro - Robert J. Coelho Middle School, 00160305,3.6,3.6,10.6,76.8,0,0,5.4,51,49
Attleboro - Thomas Willett Elementary School, 00160035,6.2,9.4,9.8,65,0,0,9.6,52.3,47.7
Attleboro - Wamsutta Middle School, 00160320,6,5.9,18.7,64.9,0,0.2,4.3,53.7,46.3
Auburn - Auburn Middle, 00170305,1.8,4.2,5.4,85.6,0.3,0,2.7,50.6,49.4
Auburn - Auburn Senior High, 00170505,2.1,4.3,6.4,84,0.4,0,2.8,48.1,51.9
Auburn - Bryn Mawr, 00170010,1.4,3.1,10.1,81.1,0.7,0,3.5,52.1,47.9
Auburn - Pakachoag School, 00170025,2.8,3.9,8.2,81.1,0,0,3.9,52.3,47.7
Auburn - Swanson Road Intermediate School, 00170030,1.5,3.4,7.6,84,0,0,3.5,49.3,50.7
Avon - Avon Middle High School, 00180510,37.3,5.6,4.7,48.3,0.6,0,3.4,48.3,51.4
Avon - Ralph D Butler, 00180010,23.3,3.8,6.8,59,1.3,0,5.8,52.2,47.8
Ayer Shirley School District - Ayer Shirley Regional High School, 06160505,7.8,2.4,10.5,72.9,0.2,0.2,5.9,50.4,49.6
Ayer Shirley School District - Ayer Shirley Regional Middle School, 06160305,4.8,2,10.6,75.2,0.8,0.8,5.8,47.1,52.9
Ayer Shirley School District - Lura A. White Elementary School, 06160001,2.1,2.6,9.8,81.2,0,0.3,4.1,52.7,47.3
Ayer Shirley School District - Page Hilltop Elementary School, 06160002,3.2,3.8,11.7,76.5,0.2,0.4,4.2,54,46
Barnstable - Barnstable High, 00200505,8.4,2.8,11.5,72.2,0.9,0.4,3.7,48.7,51.3
Barnstable - Barnstable Intermediate School, 00200315,8,1.7,9.9,74.7,0.5,0,5.2,48.7,51.3
Barnstable - Barnstable United Elementary School, 00200050,6.7,2.1,11.7,75.6,0,0.4,3.5,52,48
Barnstable - Centerville Elementary, 00200010,4.8,1.4,8.5,82.3,0.3,0,2.7,53.9,46.1
Barnstable - Enoch Cobb Early Learning Center, 00200001,5.6,2.4,11.1,73,0,0,7.9,54.8,45.2
Barnstable - Hyannis West Elementary, 00200025,17.1,2.5,27.5,42.7,0.3,0.3,9.6,54.8,45.2
Barnstable - West Barnstable Elementary, 00200005,4.6,1.9,6.5,83.5,0,0,3.5,56.5,43.5
Barnstable - West Villages Elementary School, 00200045,2,0.7,5.2,88,0.5,0,3.6,50.3,49.7
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School, 04270010,17.9,3.1,20.7,51.7,1,0.3,5.2,51.7,48.3
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School, 35020405,27.6,0.8,65.3,5.9,0,0,0.5,50.5,49.5
Bedford - Bedford High, 00230505,7.8,11.4,6.4,68.7,0,0.6,5.2,50.6,49.4
Bedford - John Glenn Middle, 00230305,5.8,15.5,5.9,69.2,0,0,3.6,50.2,49.8
Bedford - Lt Elezer Davis, 00230010,5,16.7,6.2,65.2,0,0,6.9,50.2,49.8
Bedford - Lt Job Lane School, 00230012,5.7,15.7,4.4,70.3,0,0,3.9,53.4,46.6
