School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,Student Included,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL
Andover - Andover West Middle,00090310,MATH,         310,61,          68,13,         242,47,         184,36,          16,3,         510,     507.5,          43.0,         487,82
Andover - Bancroft Elementary,00090003,ELA,         179,56,          18,6,         161,50,         128,40,          13,4,         320,     501.9,          42.0,         219,60
Andover - Bancroft Elementary,00090003,MATH,         178,55,          26,8,         152,47,         123,38,          20,6,         321,     502.2,          52.0,         219,63
Andover - Doherty Middle,00090305,ELA,         382,70,          74,13,         308,56,         152,28,          15,3,         549,     508.8,          49.0,         536,86
Andover - Doherty Middle,00090305,MATH,         331,60,          92,17,         239,44,         198,36,          19,3,         548,     507.5,          47.0,         533,82
Andover - Henry C Sanborn Elementary,00090010,ELA,         120,61,          20,10,         100,51,          67,34,          11,6,         198,     504.0,          42.0,         126,68
Andover - Henry C Sanborn Elementary,00090010,MATH,         118,60,          28,14,          90,45,          71,36,           9,5,         198,     506.8,          62.0,         127,80
Andover - High Plain Elementary,00090004,ELA,         220,76,          57,20,         163,57,          60,21,           8,3,         288,     513.8,          56.0,         181,96
Andover - High Plain Elementary,00090004,MATH,         205,71,          46,16,         159,55,          76,26,           8,3,         289,     511.6,          72.0,         181,91
Andover - South Elementary,00090020,ELA,         185,72,          41,16,         144,56,          68,26,           4,2,         257,     510.2,          38.0,         165,89
Andover - South Elementary,00090020,MATH,         176,68,          32,12,         144,56,          75,29,           6,2,         257,     508.6,          46.0,         165,85
Andover - West Elementary,00090025,ELA,         175,54,          20,6,         155,48,         122,38,          27,8,         324,     501.0,          41.0,         219,57
Andover - West Elementary,00090025,MATH,         182,56,          31,10,         151,47,         126,39,          16,5,         324,     503.6,          47.0,         219,68
Andover - Wood Hill Middle School,00090350,ELA,         272,66,          35,8,         237,57,         129,31,          14,3,         415,     506.9,          39.0,         399,80
Andover - Wood Hill Middle School,00090350,MATH,         275,66,          80,19,         195,47,         119,29,          21,5,         415,     511.2,          43.0,         399,91
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          97,32,           3,1,          94,31,         152,50,          55,18,         304,     489.1,          42.0,         289,14
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          81,27,           1,0,          80,26,         179,59,          42,14,         302,     488.1,          35.0,         287,14
Arlington - Brackett,00100010,ELA,         155,70,          32,14,         123,56,          55,25,          11,5,         221,     510.3,          45.5,         136,90
Arlington - Brackett,00100010,MATH,         146,66,          26,12,         120,55,          66,30,           8,4,         220,     508.6,          45.0,         135,85
Arlington - Cyrus E Dallin,00100025,ELA,         145,63,          26,11,         119,52,          79,35,           5,2,         229,     507.8,          47.0,         145,83
Arlington - Cyrus E Dallin,00100025,MATH,         145,63,          25,11,         120,52,          72,31,          12,5,         229,     505.2,          46.5,         144,74
Arlington - Hardy,00100030,ELA,         124,65,          24,13,         100,53,          60,32,           6,3,         190,     507.2,          52.0,         119,81
Arlington - Hardy,00100030,MATH,         119,63,          23,12,          96,51,          62,33,           8,4,         189,     506.6,          53.0,         119,79
Arlington - John A Bishop,00100005,ELA,         162,79,          49,24,         113,55,          41,20,           2,1,         205,     516.1,          74.0,         129,98
Arlington - John A Bishop,00100005,MATH,         151,73,          39,19,         112,54,          49,24,           7,3,         207,     512.0,          67.0,         131,92
Arlington - M Norcross Stratton,00100055,ELA,         107,57,          15,8,          92,49,          74,39,           7,4,         188,     504.6,          53.0,         124,71
Arlington - M Norcross Stratton,00100055,MATH,         106,56,          18,9,          88,46,          72,38,          12,6,         190,     504.5,          54.0,         124,71
Arlington - Ottoson Middle,00100410,ELA,         858,73,         173,15,         685,58,         277,24,          42,4,"       1,177",     510.3,          57.0,"       1,119",90
Arlington - Ottoson Middle,00100410,MATH,         810,69,         153,13,         657,56,         328,28,          37,3,"       1,175",     509.1,          56.0,"       1,115",86
Arlington - Peirce,00100045,ELA,          91,69,          12,9,          79,60,          40,30,           1,1,         132,     506.6,          44.0,          85,79
Arlington - Peirce,00100045,MATH,          76,58,          15,11,          61,46,          51,39,           5,4,         132,     502.9,          33.5,          84,66
Arlington - Thompson,00100050,ELA,         124,63,          47,24,          77,39,          65,33,           8,4,         197,     510.3,          77.0,         121,90
Arlington - Thompson,00100050,MATH,         114,58,          17,9,          97,49,          70,35,          14,7,         198,     503.3,          51.0,         120,67
Ashburnham-Westminster - Briggs Elementary,06100025,ELA,         110,47,           4,2,         106,45,         121,51,           5,2,         236,     498.5,          35.0,         154,44
Ashburnham-Westminster - Briggs Elementary,06100025,MATH,         111,47,          12,5,          99,42,         114,48,          11,5,         236,     499.9,          37.0,         154,52
Ashburnham-Westminster - Overlook Middle School,06100305,ELA,         301,53,          22,4,         279,50,         235,42,          27,5,         563,     500.2,          46.0,         550,53
Ashburnham-Westminster - Overlook Middle School,06100305,MATH,         308,55,          35,6,         273,49,         229,41,          25,4,         562,     502.5,          53.0,         549,65
Ashburnham-Westminster - Westminster Elementary,06100005,ELA,         146,50,           7,2,         139,48,         130,45,          16,5,         292,     498.3,          61.0,         191,43
Ashburnham-Westminster - Westminster Elementary,06100005,MATH,         131,45,          16,5,         115,39,         142,49,          19,7,         292,     499.0,          72.0,         191,48
Ashland - Ashland Middle,00140405,ELA,         383,66,          86,15,         297,52,         164,28,          29,5,         576,     507.6,          58.0,         561,82
Ashland - Ashland Middle,00140405,MATH,         398,69,         112,19,         286,50,         156,27,          22,4,         576,     510.1,          66.0,         561,88
Ashland - David Mindess,00140015,ELA,         315,52,          47,8,         268,45,         251,42,          36,6,         602,     501.5,          48.0,         384,59
Ashland - David Mindess,00140015,MATH,         315,52,          39,6,         276,46,         250,41,          38,6,         603,     501.6,          61.5,         384,60
Athol-Royalston - Athol Community Elementary School,06150020,ELA,          29,16,           2,1,          27,15,          99,55,          51,28,         179,     482.8,          28.0,          90,5
Athol-Royalston - Athol Community Elementary School,06150020,MATH,          36,20,           2,1,          34,19,          90,51,          52,29,         178,     480.9,          26.0,          89,6
Athol-Royalston - Athol-Royalston Middle School,06150305,ELA,         102,28,           7,2,          95,26,         189,52,          76,21,         367,     487.4,          51.0,         353,11
Athol-Royalston - Athol-Royalston Middle School,06150305,MATH,          97,27,           4,1,          93,25,         203,56,          65,18,         365,     488.6,          49.0,         353,15
Athol-Royalston - Royalston Community School,06150050,ELA,          40,43,           6,6,          34,36,          43,46,          11,12,          94,     496.4,          70.0,          69,36
Athol-Royalston - Royalston Community School,06150050,MATH,          36,38,           1,1,          35,37,          44,47,          14,15,          94,     492.7,          52.0,          69,26
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,         285,47,          27,4,         258,43,         286,48,          31,5,         602,     498.6,          61.5,         486,44
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,         271,45,          17,3,         254,42,         287,48,          42,7,         600,     497.6,          53.0,         485,43
Attleboro - A. Irvin Studley Elementary School,00160001,ELA,          90,52,          13,7,          77,44,          71,41,          13,7,         174,     500.5,          41.5,          94,54
Attleboro - A. Irvin Studley Elementary School,00160001,MATH,         106,61,          24,14,          82,47,          58,33,          10,6,         174,     504.9,          53.5,          94,72
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,         278,53,          30,6,         248,48,         198,38,          45,9,         521,     501.8,          48.0,         479,60
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,         209,40,          21,4,         188,36,         253,49,          57,11,         519,     496.9,          35.0,         474,40
Attleboro - Hill-Roberts Elementary School,00160045,ELA,          80,41,          10,5,          70,36,          96,50,          17,9,         193,     495.5,          35.0,         100,33
Attleboro - Hill-Roberts Elementary School,00160045,MATH,          72,37,           3,2,          69,36,          89,46,          32,17,         193,     492.1,          51.0,          99,24
Attleboro - Hyman Fine Elementary School,00160040,ELA,         109,63,          20,12,          89,51,          57,33,           7,4,         173,     505.8,          84.0,          74,75
