school_id,year,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
1280085,2002,1500025,1740305,7250305,160305,1280035,1140505,1330505,160320,1740505,1030405
1280100,2002,640305,610305,1530045,2580305,1280050,160315,1810055,1630420,1000310,2580505
1310410,2002,1310505,2620505,6900505,1770505,1360305,710305,1620505,1220505,1780305,2610505
1330505,2002,7250305,1280035,50405,160305,1030505,360505,2090505,1510505,1740305,2140505
1360305,2002,7670505,6750505,6900510,1220505,1310410,2610505,2040505,1750505,1770505,2170505
1380505,2002,1870505,6980510,6800305,6750310,4470205,7400405,1580505,7200505,7450405,6200505
1390305,2002,1390505,140505,140405,1750505,1770505,1220505,1310505,870505,2620505,1610505
1410505,2002,1610505,730505,2620505,710305,2390515,6450505,70505,6580505,1780305,7250505
1420305,2002,4490305,940305,1420505,6150305,6350305,630010,7200305,1510015,6220405,4830305
1440305,2002,1110505,1440505,1870020,6700505,170305,2520305,240505,360505,870305,7450405
1490015,2002,1370605,1490018,4540205,570505,8230605,1630305,2740111,4400205,350080,350229
1490018,2002,570505,1490015,1370605,8230605,2740111,1630305,2740087,350530,350445,350691
1500025,2002,1140505,6450305,1280085,1740305,860305,1030405,2780305,1140305,1500505,6350305
1510015,2002,6220405,30305,7200305,2140505,1110505,6250315,1870020,6200505,170305,2730305
1520505,2002,1620505,1100505,6550505,6750310,2620505,6980510,1380505,1250505,1170505,1580505
1530045,2002,640305,8290605,1810050,1280050,1280100,8530605,1700505,1000310,1630420,1810060
1550305,2002,1550310,2070315,2070310,6000405,260305,90310,1550505,260505,2070320,400305
1550310,2002,2070315,1550305,2070310,6000405,260305,260505,90310,2660305,230305,400305
1570305,2002,270305,4640305,1580305,2490005,4320530,8520605,1580505,4780505,1010405,7250310
1580305,2002,2490005,1580505,1010405,7670505,1870505,4470205,2520510,6980510,4780505,1360305
1590017,2002,90305,2130305,1640405,2760305,1980310,2460305,400305,400310,1750305,560305
1590305,2002,2190405,6200505,2460305,6550405,2190505,6750310,2760305,7250310,6730505,6800310
1600315,2002,1600330,1600345,1630405,1650003,1650013,2430325,2430305,1650057,2010405,610305
1600330,2002,1600345,1600340,1600315,4860105,2430325,1630405,2810325,1650057,1280100,1630420
1600340,2002,1600345,350262,1600330,1530045,1630420,1000305,930058,2580305,1280100,1650057
1600345,2002,1600340,1600330,350262,1600315,1650003,1650013,1630405,490045,1630305,1530045
1610305,2002,2040305,2620305,6600305,1740305,6250315,2730305,1070305,720050,2780305,6350305
1630305,2002,2740111,350445,1490018,2740087,2740075,350430,2810320,1490015,2810330,1600345
1630405,2002,1650013,2740120,1630505,2010415,950320,970505,2010405,1630605,950305,440420
1630420,2002,1000310,1760068,2740115,1650057,1280100,930038,1530045,460035,2580305,640305
1640405,2002,2460305,1750305,2760305,2130305,1980310,7250025,2190405,6550405,1770305,1590305
1650003,2002,1650013,460040,2430305,1650057,1630420,490050,460035,460030,1760068,1650505
1650013,2002,1650003,1630405,1650057,490045,460040,1630420,490050,1630505,2010415,950305
1650057,2002,2480505,1630420,1760068,930038,2440410,6050505,2580305,1650013,2440505,2430310
1670035,2002,1670505,6500505,820305,6600505,1820305,1750305,820505,7050405,1360505,880405
1700505,2002,1810050,1810030,1810060,6050505,1850505,1810055,1530045,1810505,1530505,2430505
1710310,2002,830010,6650305,2390305,7600405,7350035,2120305,990405,70505,310305,1710505
1720505,2002,7400505,1820305,6750505,4460550,1310410,2640505,1360305,2040505,1780505,7100510
1740305,2002,2780305,1030505,160305,6250315,2620305,1610305,1280035,1980310,50405,6180505
1750305,2002,7250025,1640405,7050405,310310,1360505,2460305,6500310,6550405,2190505,1050505
1760068,2002,1760505,6050505,1630420,1810060,1650057,1000310,2480505,160315,6050405,1810050
1760315,2002,6050405,2210005,1000310,160320,1280085,640505,160315,1140505,2200305,1280050
1770305,2002,6500310,1100305,2780505,2190505,6980020,2190405,2180505,1050505,1220305,6580305
1780305,2002,830505,6100505,2610505,1310505,7100510,870505,1770505,880405,1220305,2390515
1810030,2002,1810050,1700505,8320605,2290305,200505,1850505,610510,6050505,1810060,610505
1810050,2002,1810030,1810060,1850505,1700505,8320605,610505,1810505,1530505,640305,1530045
1810055,2002,1810060,640305,1850505,1280505,610505,160315,1810505,2290305,8320605,1810050
1810060,2002,1810055,1810505,1810050,640305,1850505,610505,1530505,1700505,1000310,1810030
1820305,2002,1670505,880405,820505,870505,6500505,2610505,1360505,820305,1310505,7450505
1860505,2002,6180505,2040305,870305,70505,2780505,990405,7150505,6350505,2730305,170305
1870020,2002,1110505,7400405,170305,360505,1440305,7200505,2520305,6800305,6220405,7450405
1890410,2002,1890505,1990405,100410,400305,4700105,6950505,230505,2200305,6400505,2200505
1910310,2002,7200505,1110505,2520510,30305,7400405,1870020,1870505,4830305,2520305,240505
1970010,2002,1970505,4880550,6100305,4500105,6980020,2520305,6800310,6220405,240505,4830305
1980305,2002,400305,1980310,2110305,90305,90310,2200305,2130305,100410,1590017,2640305
1980310,2002,1640405,870305,2130305,6800310,2780505,400310,2640305,2620305,6180505,2760305
1990405,2002,100410,2710305,2110305,400305,6400505,6950505,1980505,1590505,1990505,2200305
2010405,2002,2010410,4860105,440420,2740120,4410505,440410,610305,4870550,950320,2810325
2010410,2002,950320,610305,2010405,930038,640305,610505,2740115,950315,1810055,2580305
2010415,2002,930058,950305,1630405,2010405,930038,2580305,1630420,2010410,1530045,1000305
2010510,2002,1530605,350004,2480520,610021,1760605,4060705,1280100,2740115,950320,8150605
2040305,2002,1860505,2730305,2780505,7350035,6180505,70505,1050505,1100305,6350505,1710310
2070305,2002,460045,6050405,1550305,1550310,2070320,2070310,260305,460020,2070315,460035
2070310,2002,1550310,2070315,260505,2660305,1550305,90310,6000405,230305,260305,400305
2070315,2002,1550310,2070310,6000405,1550305,260305,260505,90310,2710305,2660305,2200305
2070320,2002,460005,460020,460015,460045,1550305,2070310,260305,2070305,2070315,1550310
2100410,2002,1030405,2140305,860305,160315,7550505,2100505,2360310,2780305,1420505,4700105
2110305,2002,1990405,50505,100410,2710305,1990505,2110505,2510505,1980305,2660505,400505
2120305,2002,1710310,1710505,830010,6650305,7600405,2390305,1070505,7350035,300505,6600305
2130305,2002,90305,1640405,560305,1980310,1590017,1750305,2760305,400305,400310,2460305
2140305,2002,1030405,7550505,360325,2360505,860305,2270505,940505,6150505,7170505,70013
2150505,2002,6720505,7650505,7200505,7780505,2520510,30305,6030505,1910310,7200305,940505
2170305,2002,2650505,10505,2170505,6900510,1640505,710505,1360305,2040505,1620505,6830505
2180305,2002,6350505,6250315,360505,2140505,870305,6180505,2730305,830010,6600305,6650305
2190405,2002,1590305,2190505,6550405,6750310,6200505,6730505,2460305,1770305,300305,6800310
2200305,2002,160320,1990405,100410,2710305,1980305,1980505,400305,2070315,160305,2200505
2210005,2002,1280085,1760315,6050405,1500025,890005,2200305,7250305,1330505,160305,1500505
2260505,2002,1510505,50405,990505,6700505,2090505,1440505,170505,170305,1030505,360505
2270505,2002,940505,70013,7780505,6150505,6600305,7200305,6720505,2090505,2180305,70505
2290305,2002,2290510,160505,200505,1280505,90505,1810030,6450505,610510,730505,610505
2360305,2002,2360310,4910550,2360510,6150305,7550505,7350030,1030405,4700105,2780305,4490305
2360310,2002,2360510,7550505,6450305,1030405,6150305,7170505,2140305,2360305,4490305,4910550
2390305,2002,6650305,1710310,830010,6600305,7350035,7600405,2120305,720050,2180305,2730305
2390405,2002,2360510,1070305,2390305,720050,2360505,6250315,70013,360325,7530505,1710310
2430305,2002,1650003,460025,460040,460030,460035,2430325,490050,1650013,2430320,2430315
2430310,2002,2430320,2430325,4910550,2360305,6050405,2740115,4700105,1500025,6450305,1140305
2430315,2002,6050405,2430510,2200305,230305,1140505,1550305,160320,1550310,2070310,160305
2430320,2002,2430310,2430325,2480520,2070305,6050405,2740115,1500025,4910550,4490305,160315
2430325,2002,2430310,2430320,2740115,2480520,460035,4580505,6050405,1630420,2430315,2070305
2440410,2002,490005,2440505,4870550,490007,490035,490040,490065,1650057,490050,440420
2460305,2002,6550405,1640405,1590305,2190505,2190405,1750305,7250025,6800310,6500305,1770305
2460310,2002,1100505,1620505,1250505,400310,7250505,6730305,6750310,7450405,6200505,1440505
2480520,2002,2430320,2430325,4060705,610021,2430310,4580505,8510605,8180605,8150605,1760605
2490005,2002,1580305,2520510,1870505,6980510,1580505,1010405,6800305,1270505,1380505,7670505
2510505,2002,990405,1710310,310305,6600505,1860505,2040305,7350035,830010,7150505,2780505
2520305,2002,240505,6220405,1870020,7250310,1110505,1170505,1440305,1870505,1910310,1270505
2580305,2002,930038,1280100,640305,2580505,1810060,1810055,1630420,1530045,2010410,610305
2610025,2002,6900505,6100505,7050505,7450505,7600405,1220505,250505,820305,2120505,2610505
2620305,2002,2040305,1980310,1610305,1740305,1860505,2780305,6250315,1750305,2510505,2730305
2640305,2002,2040305,1750305,1050505,1980310,6600505,1640405,6800310,6500310,2780505,1860505
2650405,2002,6730505,6730305,2610505,1220505,2180505,1770505,1010310,6750310,6580305,6100505
2660305,2002,260505,2070310,90310,400305,6400505,670305,230305,4460550,560305,100505
2710305,2002,1990405,1990505,2110305,2710505,400505,1980505,2200305,50505,2660505,90310
2730305,2002,6350505,6600305,2040305,6250315,2180305,6180505,70505,1860505,870305,1110505
2740075,2002,350430,350262,440420,2740120,350445,490040,2010415,350485,490030,1630305
2740087,2002,2740111,350691,490006,1630305,350445,1490018,350229,350308,2740075,1370605
2740111,2002,2740087,1630305,1490018,350229,350445,1370605,1490015,490006,2740075,350691
2740115,2002,1630420,2430310,1000310,950320,2430325,2010410,160315,4580505,2430320,1280100
2740120,2002,950320,2010405,2740115,1630420,490040,1630405,440420,2010410,4870550,1280100
2760305,2002,400310,1590305,1640405,2190405,6800310,6200505,2460305,6550505,6550405,2460310
2780305,2002,1740305,6250315,2360505,2620305,6350305,6150505,360325,940505,2140505,2360510
2810030,2002,2810328,2810325,2810330,2810320,350380,490090,2810510,4410505,4860105,440420
2810320,2002,2810330,2810030,2810328,350485,2810510,1630305,2740075,350445,350229,2010415
2810325,2002,4860105,4410505,2810328,2010405,2810030,2810330,440410,440420,1600330,2810500
2810328,2002,2810030,2810325,4410505,2810320,2810330,4860105,2810510,350380,440420,490090
2810330,2002,2810320,2810325,2810030,2810510,2810328,2810500,4410505,1600330,2010415,2740075
4120530,2002,4440205,350380,490090,4840505,4690505,490065,4870550,440410,350546,2440410
4200205,2002,4840505,4690505,350542,350380,4810550,350543,350540,4440205,490090,4240505
4320530,2002,6500305,7250310,1270505,4640305,6200505,2190405,4830305,300305,1590305,650505
4350305,2002,4320530,1970505,6500305,4500105,1970010,6980020,1500505,6200505,400310,7250310
4400205,2002,490006,1370605,1490015,8230605,350691,4540205,2740111,1490018,2740087,2810320
4410505,2002,4860105,2810500,2010405,2810325,4870550,440420,2810328,2810510,610305,350546
4440205,2002,4120530,350380,350546,4690505,350540,350543,4840505,490090,4870550,440410
4460550,2002,1250505,990505,500305,510025,1770505,1310410,1360305,6550505,7670505,1620505
4470205,2002,1580505,4780505,6750310,1870505,7670505,1220505,1380505,650505,6980510,1010405
