school_id,year,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per,free_lunch_num,free_lunch_per,reduced_lunch_num,reduced_lunch_per,high_needs_num,high_needs_per
300305,2001,0.0,0.0,0.0,0.0,0.0,0.0,132.0,22.2,,,,,,
300010,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
300015,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
300033,2001,24.0,6.3,0.0,0.0,0.0,0.0,95.0,25.1,,,,,,
300040,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
310505,2001,26.0,1.8,0.0,0.0,0.0,0.0,32.0,2.2,,,,,,
310030,2001,7.0,1.7,0.0,0.0,0.0,0.0,22.0,5.3,,,,,,
310007,2001,14.0,2.5,0.0,0.0,0.0,0.0,45.0,8.1,,,,,,
310026,2001,0.0,0.0,0.0,0.0,0.0,0.0,67.0,9.4,,,,,,
310012,2001,1.0,0.2,0.0,0.0,0.0,0.0,33.0,5.8,,,,,,
310310,2001,1.0,0.1,0.0,0.0,0.0,0.0,48.0,7.0,,,,,,
310305,2001,2.0,0.2,0.0,0.0,0.0,0.0,69.0,7.4,,,,,,
310015,2001,33.0,6.0,0.0,0.0,0.0,0.0,52.0,9.4,,,,,,
310005,2001,0.0,0.0,0.0,0.0,0.0,0.0,39.0,7.5,,,,,,
8050605,2001,9.0,1.1,0.0,0.0,0.0,0.0,94.0,11.2,,,,,,
6220015,2001,0.0,0.0,0.0,0.0,0.0,0.0,38.0,8.7,,,,,,
6220505,2001,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.8,,,,,,
6220405,2001,0.0,0.0,0.0,0.0,0.0,0.0,31.0,8.0,,,,,,
6220008,2001,0.0,0.0,0.0,0.0,0.0,0.0,46.0,9.0,,,,,,
6220010,2001,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9.8,,,,,,
8060605,2001,0.0,0.0,0.0,0.0,0.0,0.0,98.0,11.2,,,,,,
350541,2001,8.0,10.1,1.0,1.3,0.0,0.0,8.0,10.1,,,,,,
350021,2001,29.0,10.1,3.0,1.0,0.0,0.0,221.0,76.7,,,,,,
350390,2001,469.0,59.3,335.0,42.4,0.0,0.0,691.0,87.4,,,,,,
350010,2001,89.0,45.2,71.0,36.0,0.0,0.0,173.0,87.8,,,,,,
350548,2001,130.0,75.6,99.0,57.6,0.0,0.0,111.0,64.5,,,,,,
350546,2001,49.0,15.3,8.0,2.5,0.0,0.0,161.0,50.2,,,,,,
350560,2001,607.0,26.3,15.0,0.7,0.0,0.0,573.0,24.8,,,,,,
350545,2001,447.0,27.3,35.0,2.1,0.0,0.0,661.0,40.4,,,,,,
350505,2001,483.0,42.3,289.0,25.3,0.0,0.0,838.0,73.3,,,,,,
350036,2001,7.0,38.9,0.0,0.0,0.0,0.0,17.0,94.4,,,,,,
350054,2001,204.0,33.8,127.0,21.0,0.0,0.0,395.0,65.4,,,,,,
350052,2001,231.0,42.2,153.0,27.9,0.0,0.0,457.0,83.4,,,,,,
350515,2001,652.0,50.1,426.0,32.7,0.0,0.0,761.0,58.4,,,,,,
350430,2001,231.0,44.3,154.0,29.6,0.0,0.0,454.0,87.1,,,,,,
350062,2001,73.0,36.1,38.0,18.8,0.0,0.0,147.0,72.8,,,,,,
350066,2001,45.0,31.5,1.0,0.7,0.0,0.0,125.0,87.4,,,,,,
350072,2001,169.0,38.2,136.0,30.8,0.0,0.0,380.0,86.0,,,,,,
350074,2001,217.0,48.3,177.0,39.4,0.0,0.0,367.0,81.7,,,,,,
350077,2001,32.0,9.9,3.0,0.9,0.0,0.0,268.0,83.2,,,,,,
350080,2001,532.0,79.5,422.0,63.1,0.0,0.0,573.0,85.7,,,,,,
350009,2001,119.0,60.1,73.0,36.9,0.0,0.0,171.0,86.4,,,,,,
350530,2001,616.0,46.2,388.0,29.1,0.0,0.0,834.0,62.6,,,,,,
350088,2001,114.0,33.4,7.0,2.1,0.0,0.0,268.0,78.6,,,,,,
350543,2001,10.0,18.5,2.0,3.7,0.0,0.0,23.0,42.6,,,,,,
350003,2001,34.0,41.5,0.0,0.0,0.0,0.0,58.0,70.7,,,,,,
350006,2001,11.0,9.2,0.0,0.0,0.0,0.0,83.0,69.2,,,,,,
350096,2001,51.0,26.2,11.0,5.6,0.0,0.0,161.0,82.6,,,,,,
350100,2001,28.0,12.1,2.0,0.9,0.0,0.0,207.0,89.6,,,,,,
350540,2001,64.0,25.1,21.0,8.2,0.0,0.0,148.0,58.0,,,,,,
350116,2001,25.0,8.5,2.0,0.7,0.0,0.0,203.0,69.3,,,,,,
350122,2001,30.0,13.3,2.0,0.9,0.0,0.0,164.0,72.9,,,,,,
350426,2001,40.0,16.4,21.0,8.6,0.0,0.0,185.0,75.8,,,,,,
350200,2001,210.0,44.3,96.0,20.3,0.0,0.0,432.0,91.1,,,,,,
350135,2001,34.0,11.6,2.0,0.7,0.0,0.0,225.0,76.5,,,,,,
350750,2001,37.0,29.1,8.0,6.3,0.0,0.0,89.0,70.1,,,,,,
350141,2001,112.0,39.2,8.0,2.8,0.0,0.0,256.0,89.5,,,,,,
350013,2001,211.0,33.8,77.0,12.3,0.0,0.0,462.0,73.9,,,,,,
350146,2001,297.0,37.4,100.0,12.6,0.0,0.0,644.0,81.0,,,,,,
350154,2001,36.0,10.6,1.0,0.3,0.0,0.0,272.0,80.0,,,,,,
350156,2001,336.0,88.0,258.0,67.5,0.0,0.0,330.0,86.4,,,,,,
350485,2001,223.0,35.5,137.0,21.8,0.0,0.0,536.0,85.4,,,,,,
350153,2001,328.0,55.5,272.0,46.0,0.0,0.0,481.0,81.4,,,,,,
